"Year","cbns","threshold","retirees","prop"
1999,47,-1.75,48,0.979166666666667
2000,53,-1.75,53,1
2001,52,-1.75,54,0.962962962962963
2002,38,-1.75,39,0.974358974358974
2003,39,-1.75,40,0.975
2004,45,-1.75,46,0.978260869565217
2005,30,-1.75,30,1
2006,42,-1.75,42,1
2007,41,-1.75,43,0.953488372093023
2008,39,-1.75,40,0.975
2009,45,-1.75,45,1
2010,47,-1.75,49,0.959183673469388
2011,51,-1.75,52,0.980769230769231
2012,46,-1.75,48,0.958333333333333
2013,38,-1.75,42,0.904761904761905
2014,46,-1.75,46,1
2015,53,-1.75,54,0.981481481481482
2016,61,-1.75,62,0.983870967741935
2017,72,-1.75,73,0.986301369863014
2018,62,-1.75,63,0.984126984126984
1969,34,-1.725,36,0.944444444444444
1970,39,-1.725,43,0.906976744186046
1971,39,-1.725,41,0.951219512195122
1972,52,-1.725,52,1
1973,40,-1.725,40,1
1974,43,-1.725,44,0.977272727272727
1975,37,-1.725,37,1
1976,34,-1.725,34,1
1977,58,-1.725,60,0.966666666666667
1978,35,-1.725,37,0.945945945945946
1979,45,-1.725,47,0.957446808510638
1980,44,-1.725,44,1
1981,37,-1.725,39,0.948717948717949
1982,42,-1.725,46,0.91304347826087
1983,39,-1.725,40,0.975
1984,38,-1.725,39,0.974358974358974
1985,51,-1.725,52,0.980769230769231
1986,32,-1.725,32,1
1987,27,-1.725,30,0.9
1988,32,-1.725,32,1
1989,37,-1.725,37,1
1990,46,-1.725,48,0.958333333333333
1991,45,-1.725,45,1
1992,42,-1.725,42,1
1993,52,-1.725,53,0.981132075471698
1994,33,-1.725,34,0.970588235294118
1995,44,-1.725,44,1
1996,44,-1.725,46,0.956521739130435
1997,34,-1.725,35,0.971428571428571
1998,40,-1.725,42,0.952380952380952
1999,47,-1.725,48,0.979166666666667
2000,52,-1.725,53,0.981132075471698
2001,52,-1.725,54,0.962962962962963
2002,38,-1.725,39,0.974358974358974
2003,39,-1.725,40,0.975
2004,45,-1.725,46,0.978260869565217
2005,30,-1.725,30,1
2006,42,-1.725,42,1
2007,41,-1.725,43,0.953488372093023
2008,39,-1.725,40,0.975
2009,45,-1.725,45,1
2010,47,-1.725,49,0.959183673469388
2011,51,-1.725,52,0.980769230769231
2012,46,-1.725,48,0.958333333333333
2013,38,-1.725,42,0.904761904761905
2014,46,-1.725,46,1
2015,53,-1.725,54,0.981481481481482
2016,61,-1.725,62,0.983870967741935
2017,72,-1.725,73,0.986301369863014
2018,62,-1.725,63,0.984126984126984
1969,34,-1.7,36,0.944444444444444
1970,39,-1.7,43,0.906976744186046
1971,38,-1.7,41,0.926829268292683
1972,51,-1.7,52,0.980769230769231
1973,40,-1.7,40,1
1974,43,-1.7,44,0.977272727272727
1975,37,-1.7,37,1
1976,34,-1.7,34,1
1977,58,-1.7,60,0.966666666666667
1978,35,-1.7,37,0.945945945945946
1979,45,-1.7,47,0.957446808510638
1980,44,-1.7,44,1
1981,37,-1.7,39,0.948717948717949
1982,42,-1.7,46,0.91304347826087
1983,39,-1.7,40,0.975
1984,38,-1.7,39,0.974358974358974
1985,51,-1.7,52,0.980769230769231
1986,32,-1.7,32,1
1987,27,-1.7,30,0.9
1988,32,-1.7,32,1
1989,37,-1.7,37,1
1990,46,-1.7,48,0.958333333333333
1991,44,-1.7,45,0.977777777777778
1992,42,-1.7,42,1
1993,52,-1.7,53,0.981132075471698
1994,33,-1.7,34,0.970588235294118
1995,44,-1.7,44,1
1996,44,-1.7,46,0.956521739130435
1997,34,-1.7,35,0.971428571428571
1998,40,-1.7,42,0.952380952380952
1999,47,-1.7,48,0.979166666666667
2000,52,-1.7,53,0.981132075471698
2001,52,-1.7,54,0.962962962962963
2002,38,-1.7,39,0.974358974358974
2003,39,-1.7,40,0.975
2004,45,-1.7,46,0.978260869565217
2005,30,-1.7,30,1
2006,42,-1.7,42,1
2007,41,-1.7,43,0.953488372093023
2008,39,-1.7,40,0.975
2009,44,-1.7,45,0.977777777777778
2010,47,-1.7,49,0.959183673469388
2011,51,-1.7,52,0.980769230769231
2012,46,-1.7,48,0.958333333333333
2013,38,-1.7,42,0.904761904761905
2014,46,-1.7,46,1
2015,53,-1.7,54,0.981481481481482
2016,61,-1.7,62,0.983870967741935
2017,72,-1.7,73,0.986301369863014
2018,62,-1.7,63,0.984126984126984
1969,34,-1.675,36,0.944444444444444
1970,39,-1.675,43,0.906976744186046
1971,38,-1.675,41,0.926829268292683
1972,51,-1.675,52,0.980769230769231
1973,40,-1.675,40,1
1974,43,-1.675,44,0.977272727272727
1975,37,-1.675,37,1
1976,34,-1.675,34,1
1977,58,-1.675,60,0.966666666666667
1978,35,-1.675,37,0.945945945945946
1979,45,-1.675,47,0.957446808510638
1980,44,-1.675,44,1
1981,36,-1.675,39,0.923076923076923
1982,42,-1.675,46,0.91304347826087
1983,39,-1.675,40,0.975
1984,38,-1.675,39,0.974358974358974
1985,51,-1.675,52,0.980769230769231
1986,32,-1.675,32,1
1987,27,-1.675,30,0.9
1988,32,-1.675,32,1
1989,37,-1.675,37,1
1990,46,-1.675,48,0.958333333333333
1991,44,-1.675,45,0.977777777777778
1992,42,-1.675,42,1
1993,52,-1.675,53,0.981132075471698
1994,33,-1.675,34,0.970588235294118
1995,44,-1.675,44,1
1996,44,-1.675,46,0.956521739130435
1997,34,-1.675,35,0.971428571428571
1998,40,-1.675,42,0.952380952380952
1999,47,-1.675,48,0.979166666666667
2000,52,-1.675,53,0.981132075471698
2001,52,-1.675,54,0.962962962962963
2002,38,-1.675,39,0.974358974358974
2003,39,-1.675,40,0.975
2004,45,-1.675,46,0.978260869565217
2005,30,-1.675,30,1
2006,41,-1.675,42,0.976190476190476
2007,41,-1.675,43,0.953488372093023
2008,39,-1.675,40,0.975
2009,44,-1.675,45,0.977777777777778
2010,47,-1.675,49,0.959183673469388
2011,51,-1.675,52,0.980769230769231
2012,46,-1.675,48,0.958333333333333
2013,38,-1.675,42,0.904761904761905
2014,46,-1.675,46,1
2015,53,-1.675,54,0.981481481481482
2016,61,-1.675,62,0.983870967741935
2017,71,-1.675,73,0.972602739726027
2018,62,-1.675,63,0.984126984126984
1969,34,-1.65,36,0.944444444444444
1970,39,-1.65,43,0.906976744186046
1971,38,-1.65,41,0.926829268292683
1972,51,-1.65,52,0.980769230769231
1973,40,-1.65,40,1
1974,43,-1.65,44,0.977272727272727
1975,37,-1.65,37,1
1976,34,-1.65,34,1
1977,58,-1.65,60,0.966666666666667
1978,35,-1.65,37,0.945945945945946
1979,45,-1.65,47,0.957446808510638
1980,44,-1.65,44,1
1981,35,-1.65,39,0.897435897435897
1982,42,-1.65,46,0.91304347826087
1983,39,-1.65,40,0.975
1984,38,-1.65,39,0.974358974358974
1985,51,-1.65,52,0.980769230769231
1986,32,-1.65,32,1
1987,27,-1.65,30,0.9
1988,32,-1.65,32,1
1989,37,-1.65,37,1
1990,46,-1.65,48,0.958333333333333
1991,44,-1.65,45,0.977777777777778
1992,42,-1.65,42,1
1993,52,-1.65,53,0.981132075471698
1994,32,-1.65,34,0.941176470588235
1995,44,-1.65,44,1
1996,44,-1.65,46,0.956521739130435
1997,34,-1.65,35,0.971428571428571
1998,40,-1.65,42,0.952380952380952
1999,47,-1.65,48,0.979166666666667
2000,52,-1.65,53,0.981132075471698
2001,52,-1.65,54,0.962962962962963
2002,38,-1.65,39,0.974358974358974
2003,39,-1.65,40,0.975
2004,44,-1.65,46,0.956521739130435
2005,30,-1.65,30,1
2006,41,-1.65,42,0.976190476190476
2007,41,-1.65,43,0.953488372093023
2008,39,-1.65,40,0.975
2009,44,-1.65,45,0.977777777777778
2010,47,-1.65,49,0.959183673469388
2011,51,-1.65,52,0.980769230769231
2012,46,-1.65,48,0.958333333333333
2013,38,-1.65,42,0.904761904761905
2014,46,-1.65,46,1
2015,53,-1.65,54,0.981481481481482
2016,60,-1.65,62,0.967741935483871
2017,71,-1.65,73,0.972602739726027
2018,62,-1.65,63,0.984126984126984
1969,34,-1.625,36,0.944444444444444
1970,39,-1.625,43,0.906976744186046
1971,38,-1.625,41,0.926829268292683
1972,51,-1.625,52,0.980769230769231
1973,40,-1.625,40,1
1974,42,-1.625,44,0.954545454545455
1975,37,-1.625,37,1
1976,34,-1.625,34,1
1977,58,-1.625,60,0.966666666666667
1978,35,-1.625,37,0.945945945945946
1979,44,-1.625,47,0.936170212765957
1980,44,-1.625,44,1
1981,35,-1.625,39,0.897435897435897
1982,42,-1.625,46,0.91304347826087
1983,39,-1.625,40,0.975
1984,38,-1.625,39,0.974358974358974
1985,51,-1.625,52,0.980769230769231
1986,31,-1.625,32,0.96875
1987,27,-1.625,30,0.9
1988,32,-1.625,32,1
1989,37,-1.625,37,1
1990,46,-1.625,48,0.958333333333333
1991,44,-1.625,45,0.977777777777778
1992,42,-1.625,42,1
1993,52,-1.625,53,0.981132075471698
1994,32,-1.625,34,0.941176470588235
1995,44,-1.625,44,1
1996,44,-1.625,46,0.956521739130435
1997,34,-1.625,35,0.971428571428571
1998,40,-1.625,42,0.952380952380952
1999,47,-1.625,48,0.979166666666667
2000,52,-1.625,53,0.981132075471698
2001,52,-1.625,54,0.962962962962963
2002,38,-1.625,39,0.974358974358974
2003,39,-1.625,40,0.975
2004,44,-1.625,46,0.956521739130435
2005,30,-1.625,30,1
2006,41,-1.625,42,0.976190476190476
2007,41,-1.625,43,0.953488372093023
2008,39,-1.625,40,0.975
2009,44,-1.625,45,0.977777777777778
2010,47,-1.625,49,0.959183673469388
