"WAR","Year","above_threshold"
0.1,1988,FALSE
0.1,1987,FALSE
0.1,1986,FALSE
0,1990,FALSE
0,1990,FALSE
0,1990,FALSE
0,1990,FALSE
0,1990,FALSE
0,1987,FALSE
0,1986,FALSE
0,1986,FALSE
-0.1,1990,FALSE
-0.1,1990,FALSE
-0.1,1989,FALSE
-0.1,1989,FALSE
-0.1,1989,FALSE
-0.1,1988,FALSE
-0.1,1987,FALSE
-0.1,1987,FALSE
-0.1,1986,FALSE
-0.1,1986,FALSE
-0.1,1986,FALSE
-0.2,1990,FALSE
-0.2,1990,FALSE
-0.2,1990,FALSE
-0.2,1989,FALSE
-0.2,1989,FALSE
-0.2,1988,FALSE
-0.2,1987,FALSE
-0.2,1986,FALSE
-0.2,1986,FALSE
-0.2,1986,FALSE
-0.2,1986,FALSE
-0.3,1990,FALSE
-0.3,1990,FALSE
-0.3,1990,FALSE
-0.3,1989,FALSE
-0.3,1989,FALSE
-0.3,1988,FALSE
-0.3,1988,FALSE
-0.3,1988,FALSE
-0.3,1987,FALSE
-0.3,1987,FALSE
-0.3,1986,FALSE
-0.4,1990,FALSE
-0.4,1989,FALSE
-0.4,1989,FALSE
-0.4,1988,FALSE
-0.4,1988,FALSE
-0.4,1987,FALSE
-0.4,1986,FALSE
-0.4,1986,FALSE
-0.4,1986,FALSE
-0.5,1989,FALSE
-0.5,1989,FALSE
-0.5,1988,FALSE
-0.5,1988,FALSE
-0.5,1988,FALSE
-0.5,1987,FALSE
-0.5,1987,FALSE
-0.5,1986,FALSE
-0.6,1990,FALSE
-0.6,1989,FALSE
-0.6,1989,FALSE
-0.6,1988,FALSE
-0.6,1988,FALSE
-0.6,1987,FALSE
-0.7,1990,FALSE
-0.7,1990,FALSE
-0.7,1990,FALSE
-0.7,1989,FALSE
-0.7,1989,FALSE
-0.7,1989,FALSE
-0.7,1989,FALSE
-0.7,1988,FALSE
-0.7,1987,FALSE
-0.7,1987,FALSE
-0.7,1986,FALSE
-0.8,1990,FALSE
-0.8,1989,FALSE
-0.8,1988,FALSE
-0.8,1988,FALSE
-0.8,1988,FALSE
-0.8,1986,FALSE
-0.8,1986,FALSE
-0.9,1990,FALSE
-0.9,1990,FALSE
-0.9,1990,FALSE
-0.9,1989,FALSE
-0.9,1987,FALSE
-0.9,1986,FALSE
-0.9,1986,FALSE
-1,1990,FALSE
-1,1990,FALSE
-1,1988,FALSE
-1,1987,FALSE
-1,1987,FALSE
-1,1987,FALSE
-1,1986,FALSE
-1.1,1988,FALSE
-1.1,1987,FALSE
-1.4,1986,FALSE
-1.5,1988,FALSE
-1.6,1989,FALSE
-1.6,1989,FALSE
-1.7,1990,FALSE
-1.7,1986,FALSE
-1.8,1990,FALSE
3.1,1995,TRUE
2.7,1992,TRUE
2.6,1992,TRUE
2.1,1993,TRUE
1.9,1992,TRUE
1.7,1994,TRUE
1.6,1994,TRUE
1.5,1995,TRUE
1.5,1993,TRUE
1.2,1995,TRUE
1.1,1995,TRUE
1.1,1995,TRUE
1.1,1992,TRUE
1.1,1992,TRUE
0.9,1993,TRUE
0.9,1992,TRUE
0.8,1995,TRUE
0.8,1995,TRUE
0.8,1991,TRUE
0.8,1991,TRUE
0.7,1992,TRUE
0.7,1991,TRUE
0.6,1995,TRUE
0.6,1994,TRUE
0.6,1994,TRUE
0.6,1991,TRUE
0.6,1991,TRUE
0.5,1993,TRUE
0.5,1991,TRUE
0.5,1991,TRUE
0.4,1995,TRUE
0.4,1995,TRUE
0.4,1995,TRUE
0.4,1994,TRUE
0.4,1994,TRUE
0.3,1995,TRUE
0.3,1994,TRUE
0.3,1992,TRUE
0.3,1991,TRUE
0.3,1991,TRUE
0.3,1991,TRUE
0.2,1995,TRUE
0.2,1994,TRUE
0.2,1993,TRUE
0.2,1993,TRUE
0.2,1993,TRUE
0.2,1992,TRUE
0.2,1992,TRUE
0.2,1991,FALSE
0.1,1995,TRUE
0.1,1995,TRUE
0.1,1995,TRUE
0.1,1995,TRUE
0.1,1993,TRUE
0.1,1993,TRUE
0.1,1993,TRUE
0.1,1993,TRUE
0.1,1992,FALSE
0.1,1992,FALSE
0.1,1992,FALSE
0.1,1992,FALSE
0.1,1991,FALSE
0.1,1991,FALSE
0,1995,FALSE
0,1995,FALSE
0,1994,FALSE
